lat,lon,cams_xco2
-89.5,-179.5,412.90778
-89.5,-178.5,412.90778
-89.5,-177.5,412.90778
-89.5,-176.5,412.90787
-89.5,-175.5,412.90784
-89.5,-174.5,412.90787
-89.5,-173.5,412.90787
-89.5,-172.5,412.90793
-89.5,-171.5,412.90796
-89.5,-170.5,412.90793
-89.5,-169.5,412.90796
-89.5,-168.5,412.90802
-89.5,-167.5,412.90796
-89.5,-166.5,412.90802
-89.5,-165.5,412.90805
-89.5,-164.5,412.90805
-89.5,-163.5,412.90808
-89.5,-162.5,412.90814
-89.5,-161.5,412.90814
-89.5,-160.5,412.90817
-89.5,-159.5,412.90817
-89.5,-158.5,412.90823
-89.5,-157.5,412.90826
-89.5,-156.5,412.9083
-89.5,-155.5,412.90836
-89.5,-154.5,412.90836
-89.5,-153.5,412.9084
-89.5,-152.5,412.9084
-89.5,-151.5,412.90845
-89.5,-150.5,412.9085
-89.5,-149.5,412.90848
-89.5,-148.5,412.90857
-89.5,-147.5,412.90866
-89.5,-146.5,412.9087
-89.5,-145.5,412.9087
-89.5,-144.5,412.90872
-89.5,-143.5,412.9421
-89.5,-142.5,412.94217
-89.5,-141.5,412.9422
-89.5,-140.5,412.94226
-89.5,-139.5,412.94226
-89.5,-138.5,412.94226
-89.5,-137.5,412.9423
-89.5,-136.5,412.94235
-89.5,-135.5,412.94235
-89.5,-134.5,412.94238
-89.5,-133.5,412.9424
-89.5,-132.5,412.9424
-89.5,-131.5,412.94247
-89.5,-130.5,412.9424
-89.5,-129.5,412.94247
-89.5,-128.5,412.9425
-89.5,-127.5,412.9425
-89.5,-126.5,412.9426
-89.5,-125.5,412.9426
-89.5,-124.5,412.94263
-89.5,-123.5,412.94272
-89.5,-122.5,412.94272
-89.5,-121.5,412.94278
-89.5,-120.5,412.94278
-89.5,-119.5,412.9428
-89.5,-118.5,412.9428
-89.5,-117.5,412.9429
-89.5,-116.5,412.9429
-89.5,-115.5,412.9429
-89.5,-114.5,412.943
-89.5,-113.5,412.943
-89.5,-112.5,412.943
-89.5,-111.5,412.94305
-89.5,-110.5,412.94305
-89.5,-109.5,412.94315
-89.5,-108.5,412.94315
-89.5,-107.5,412.9432
-89.5,-106.5,412.94324
-89.5,-105.5,412.94324
-89.5,-104.5,412.94327
-89.5,-103.5,412.94333
-89.5,-102.5,412.94342
-89.5,-101.5,412.94342
-89.5,-100.5,412.94345
-89.5,-99.5,412.94348
-89.5,-98.5,412.94357
-89.5,-97.5,412.94357
-89.5,-96.5,412.94357
-89.5,-95.5,412.94366
-89.5,-94.5,412.94366
-89.5,-93.5,412.94376
-89.5,-92.5,412.94376
-89.5,-91.5,412.94376
-89.5,-90.5,412.94385
-89.5,-89.5,412.9439
-89.5,-88.5,412.9439
-89.5,-87.5,412.9439
-89.5,-86.5,412.94397
-89.5,-85.5,412.944
-89.5,-84.5,412.94406
-89.5,-83.5,412.9441
-89.5,-82.5,412.94412
-89.5,-81.5,412.94418
-89.5,-80.5,412.94427
-89.5,-79.5,412.94427
-89.5,-78.5,412.9443
-89.5,-77.5,412.94434
-89.5,-76.5,412.94434
-89.5,-75.5,412.94443
-89.5,-74.5,412.94443
-89.5,-73.5,412.9445
-89.5,-72.5,412.94455
-89.5,-71.5,412.96255
-89.5,-70.5,412.9626
-89.5,-69.5,412.9626
-89.5,-68.5,412.96268
-89.5,-67.5,412.96268
-89.5,-66.5,412.9627
-89.5,-65.5,412.96277
-89.5,-64.5,412.9627
-89.5,-63.5,412.96277
-89.5,-62.5,412.9628
-89.5,-61.5,412.9628
-89.5,-60.5,412.9629
-89.5,-59.5,412.9629
-89.5,-58.5,412.96292
-89.5,-57.5,412.96298
-89.5,-56.5,412.963
-89.5,-55.5,412.963
-89.5,-54.5,412.96304
-89.5,-53.5,412.96304
-89.5,-52.5,412.96313
-89.5,-51.5,412.96313
-89.5,-50.5,412.9632
-89.5,-49.5,412.9632
-89.5,-48.5,412.96323
-89.5,-47.5,412.9632
-89.5,-46.5,412.96323
-89.5,-45.5,412.96326
-89.5,-44.5,412.96326
-89.5,-43.5,412.96332
-89.5,-42.5,412.96335
-89.5,-41.5,412.96335
-89.5,-40.5,412.9634
-89.5,-39.5,412.96344
-89.5,-38.5,412.96344
-89.5,-37.5,412.96353
-89.5,-36.5,412.96353
-89.5,-35.5,412.96353
-89.5,-34.5,412.96353
-89.5,-33.5,412.96356
-89.5,-32.5,412.96362
-89.5,-31.5,412.96356
-89.5,-30.5,412.96365
