lat,lon,mean_co2
-89.5,-179.5,396.1742497411928
-89.5,-178.5,396.1800906941145
-89.5,-177.5,396.174210289762
-89.5,-176.5,396.174219859781
-89.5,-175.5,396.1742036531407
-89.5,-174.5,396.17418973594494
-89.5,-173.5,396.1741593853859
-89.5,-172.5,396.1800139583515
-89.5,-171.5,396.18000293568633
-89.5,-170.5,396.1741608994389
-89.5,-169.5,396.1799801505191
-89.5,-168.5,396.1741421822388
-89.5,-167.5,396.1799589745652
-89.5,-166.5,396.1799526401832
-89.5,-165.5,396.1741263887107
-89.5,-164.5,396.1741108144339
-89.5,-163.5,396.17993911907377
-89.5,-162.5,396.1799343086182
-89.5,-161.5,396.1740999545003
-89.5,-160.5,396.17993057903874
-89.5,-159.5,396.1799315345766
-89.5,-158.5,396.17993192346125
-89.5,-157.5,396.1741072164892
-89.5,-156.5,396.1741272882963
-89.5,-155.5,396.17413039716223
-89.5,-154.5,396.1799400778705
-89.5,-153.5,396.1741413519487
-89.5,-152.5,396.1741403632643
-89.5,-151.5,396.1741498326223
-89.5,-150.5,396.17416002571167
-89.5,-149.5,396.1741714058587
-89.5,-148.5,396.17418193736654
-89.5,-147.5,396.1799951742484
-89.5,-146.5,396.1742146177858
-89.5,-145.5,396.1742162330184
-89.5,-144.5,396.17422713287056
-89.5,-143.5,396.19808998619
-89.5,-142.5,396.204270475608
-89.5,-141.5,396.19810071697145
-89.5,-140.5,396.20427283561537
-89.5,-139.5,396.19808932293824
-89.5,-138.5,396.1981034096936
-89.5,-137.5,396.1980906074014
-89.5,-136.5,396.2042894696902
-89.5,-135.5,396.2042955821237
-89.5,-134.5,396.1981085187266
-89.5,-133.5,396.204320104404
-89.5,-132.5,396.1981247110252
-89.5,-131.5,396.1981301770697
-89.5,-130.5,396.19814796616834
-89.5,-129.5,396.1981342100875
-89.5,-128.5,396.1981603788173
-89.5,-127.5,396.1981566540231
-89.5,-126.5,396.1981579539857
-89.5,-125.5,396.20440473577554
-89.5,-124.5,396.2044216484285
-89.5,-123.5,396.20443157804726
-89.5,-122.5,396.19822286192255
-89.5,-121.5,396.1982230700589
-89.5,-120.5,396.20448981133865
-89.5,-119.5,396.1982506702251
-89.5,-118.5,396.2045232985319
-89.5,-117.5,396.1982874903275
-89.5,-116.5,396.2045654277318
-89.5,-115.5,396.19831958130266
-89.5,-114.5,396.1983539323735
-89.5,-113.5,396.1983516268887
-89.5,-112.5,396.198375482523
-89.5,-111.5,396.19841386909593
-89.5,-110.5,396.19843091357546
-89.5,-109.5,396.1304719665859
-89.5,-108.5,396.2047421554611
-89.5,-107.5,396.2047667633275
-89.5,-106.5,396.204799354502
-89.5,-105.5,396.1985373338304
-89.5,-104.5,396.2048498113363
-89.5,-103.5,396.1985852589729
-89.5,-102.5,396.20490676206
-89.5,-101.5,396.1986385867325
-89.5,-100.5,396.2049649745105
-89.5,-99.5,396.19869940081753
-89.5,-98.5,396.1987236538482
-89.5,-97.5,396.1987370247719
-89.5,-96.5,396.2050844809713
-89.5,-95.5,396.1988064716328
-89.5,-94.5,396.2051555949071
-89.5,-93.5,396.1988679666222
-89.5,-92.5,396.205222090992
-89.5,-91.5,396.1989065004743
-89.5,-90.5,396.2052899973002
-89.5,-89.5,396.19899606217615
-89.5,-88.5,396.1990266499115
-89.5,-87.5,396.2054018630631
-89.5,-86.5,396.19907661992033
-89.5,-85.5,396.19910110080457
-89.5,-84.5,396.19914527474026
-89.5,-83.5,396.205541017492
-89.5,-82.5,396.1992041669439
-89.5,-81.5,396.1992564151663
-89.5,-80.5,396.19927728771415
-89.5,-79.5,396.2056920539344
-89.5,-78.5,396.1993514011098
-89.5,-77.5,396.1994038589068
-89.5,-76.5,396.1994419191608
-89.5,-75.5,396.1994793976329
-89.5,-74.5,396.205893742469
-89.5,-73.5,396.199538448592
-89.5,-72.5,396.1995745269859
-89.5,-71.5,396.2129220314874
-89.5,-70.5,396.2194571764677
-89.5,-69.5,396.2130116238669
-89.5,-68.5,396.2195544614251
-89.5,-67.5,396.21308104369393
-89.5,-66.5,396.21964994828016
-89.5,-65.5,396.2131697003538
-89.5,-64.5,396.2132039215442
-89.5,-63.5,396.21324554450814
-89.5,-62.5,396.21982575554097
-89.5,-61.5,396.2133287762716
-89.5,-60.5,396.21993147189727
-89.5,-59.5,396.2134107601041
-89.5,-58.5,396.2134609685099
-89.5,-57.5,396.2134881149023
-89.5,-56.5,396.2135456740968
-89.5,-55.5,396.2135672869225
-89.5,-54.5,396.2202286851601
-89.5,-53.5,396.220273361665
-89.5,-52.5,396.21369066110105
-89.5,-51.5,396.21375697888016
-89.5,-50.5,396.213781746972
-89.5,-49.5,396.2138424436
-89.5,-48.5,396.2138641792783
-89.5,-47.5,396.2205680289036
-89.5,-46.5,396.21394855803
-89.5,-45.5,396.2206588144618
-89.5,-44.5,396.22071076282793
-89.5,-43.5,396.220765192123
-89.5,-42.5,396.2208046056135
-89.5,-41.5,396.2141680670471
-89.5,-40.5,396.220910570627
-89.5,-39.5,396.2209557859535
-89.5,-38.5,396.22100936174814
-89.5,-37.5,396.21435708860594
-89.5,-36.5,396.21439588718783
-89.5,-35.5,396.21441808393473
-89.5,-34.5,396.2211987935864
-89.5,-33.5,396.214498416578
-89.5,-32.5,396.2145457120899
-89.5,-31.5,396.2145911709346
-89.5,-30.5,396.2146471091052
-89.5,-29.5,396.2146881046562
-89.5,-28.5,396.214710396841
-89.5,-27.5,396.214750505108
-89.5,-26.5,396.2148081429504
-89.5,-25.5,396.221614737561
-89.5,-24.5,396.21488545092336
-89.5,-23.5,396.2149285140923
-89.5,-22.5,396.2149570190695
-89.5,-21.5,396.2217914124373
-89.5,-20.5,396.2218329970513
-89.5,-19.5,396.2218703498621
-89.5,-18.5,396.2219258487952
-89.5,-17.5,396.2151384011403
-89.5,-16.5,396.2151785094663
-89.5,-15.5,396.21524367342175
-89.5,-14.5,396.2220802598092
-89.5,-13.5,396.2152855375083
-89.5,-12.5,396.215333812359
-89.5,-11.5,396.22220191747664
-89.5,-10.5,396.2153916945357
-89.5,-9.5,396.2154410084744
-89.5,-8.5,396.2223093347496
-89.5,-7.5,396.2223521959439
-89.5,-6.5,396.2155494263625
-89.5,-5.5,396.2155782066888
-89.5,-4.5,396.2224535505623
-89.5,-3.5,396.222485440999
-89.5,-2.5,396.2156766953261
-89.5,-1.5,396.2157078627049
-89.5,-0.5,396.2157220936831
-89.5,0.5,396.2033574548058
-89.5,1.5,396.1967089889414
-89.5,2.5,396.19672655350047
-89.5,3.5,396.2034443469784
-89.5,4.5,396.203473227788
-89.5,5.5,396.1967847764202
-89.5,6.5,396.1967947721666
-89.5,7.5,396.1968118914766
-89.5,8.5,396.1968368615514
-89.5,9.5,396.19685041152127
-89.5,10.5,396.2036267024421
-89.5,11.5,396.19690587709806
-89.5,12.5,396.1969059466746
-89.5,13.5,396.1969419141402
-89.5,14.5,396.1969395690704
-89.5,15.5,396.1969769463841
-89.5,16.5,396.203758840388
-89.5,17.5,396.1970062521788
-89.5,18.5,396.1970179515471
-89.5,19.5,396.1970233148852
-89.5,20.5,396.1970434279882
-89.5,21.5,396.19703772662064
-89.5,22.5,396.20385780158966
-89.5,23.5,396.2038761779331
-89.5,24.5,396.19709272573226
-89.5,25.5,396.1970801269116
-89.5,26.5,396.1970775334525
-89.5,27.5,396.1970939865342
-89.5,28.5,396.197102803722
-89.5,29.5,396.1971041329504
-89.5,30.5,396.1971311460787
-89.5,31.5,396.2039738540721
-89.5,32.5,396.1971510799
-89.5,33.5,396.203983218825
-89.5,34.5,396.2039897924291
-89.5,35.5,396.2039968658989
-89.5,36.5,396.1971629896811
-89.5,37.5,396.1971376101427
-89.5,38.5,396.1971550587957
-89.5,39.5,396.197149026907
