lat,lon,cams_xco2
-89.5,-179.5,414.99658
-89.5,-178.5,414.99658
-89.5,-177.5,414.99658
-89.5,-176.5,414.9966
-89.5,-175.5,414.99667
-89.5,-174.5,414.99667
-89.5,-173.5,414.9967
-89.5,-172.5,414.99673
-89.5,-171.5,414.99673
-89.5,-170.5,414.99673
-89.5,-169.5,414.99673
-89.5,-168.5,414.9968
-89.5,-167.5,414.9968
-89.5,-166.5,414.99683
-89.5,-165.5,414.99683
-89.5,-164.5,414.9969
-89.5,-163.5,414.99692
-89.5,-162.5,414.997
-89.5,-161.5,414.997
-89.5,-160.5,414.99704
-89.5,-159.5,414.9971
-89.5,-158.5,414.9971
-89.5,-157.5,414.9971
-89.5,-156.5,414.99716
-89.5,-155.5,414.99716
-89.5,-154.5,414.9973
-89.5,-153.5,414.9973
-89.5,-152.5,414.99734
-89.5,-151.5,414.99738
-89.5,-150.5,414.99744
-89.5,-149.5,414.99747
-89.5,-148.5,414.99747
-89.5,-147.5,414.9976
-89.5,-146.5,414.99765
-89.5,-145.5,414.99768
-89.5,-144.5,414.99768
-89.5,-143.5,415.03308
-89.5,-142.5,415.03314
-89.5,-141.5,415.03317
-89.5,-140.5,415.03317
-89.5,-139.5,415.03323
-89.5,-138.5,415.03323
-89.5,-137.5,415.0333
-89.5,-136.5,415.0333
-89.5,-135.5,415.0333
-89.5,-134.5,415.0334
-89.5,-133.5,415.03345
-89.5,-132.5,415.03345
-89.5,-131.5,415.0335
-89.5,-130.5,415.0335
-89.5,-129.5,415.0335
-89.5,-128.5,415.0336
-89.5,-127.5,415.0336
-89.5,-126.5,415.03366
-89.5,-125.5,415.03372
-89.5,-124.5,415.03372
-89.5,-123.5,415.03378
-89.5,-122.5,415.0338
-89.5,-121.5,415.0339
-89.5,-120.5,415.0339
-89.5,-119.5,415.03394
-89.5,-118.5,415.034
-89.5,-117.5,415.03403
-89.5,-116.5,415.0341
-89.5,-115.5,415.03412
-89.5,-114.5,415.0342
-89.5,-113.5,415.0342
-89.5,-112.5,415.03424
-89.5,-111.5,415.0343
-89.5,-110.5,415.03433
-89.5,-109.5,415.03433
-89.5,-108.5,415.03442
-89.5,-107.5,415.03445
-89.5,-106.5,415.03452
-89.5,-105.5,415.03458
-89.5,-104.5,415.03458
-89.5,-103.5,415.03464
-89.5,-102.5,415.03467
-89.5,-101.5,415.03476
-89.5,-100.5,415.03476
-89.5,-99.5,415.0348
-89.5,-98.5,415.03485
-89.5,-97.5,415.03485
-89.5,-96.5,415.03494
-89.5,-95.5,415.035
-89.5,-94.5,415.03506
-89.5,-93.5,415.0351
-89.5,-92.5,415.03516
-89.5,-91.5,415.03516
-89.5,-90.5,415.03522
-89.5,-89.5,415.03528
-89.5,-88.5,415.03528
-89.5,-87.5,415.0353
-89.5,-86.5,415.03537
-89.5,-85.5,415.0354
-89.5,-84.5,415.03552
-89.5,-83.5,415.03552
-89.5,-82.5,415.03558
-89.5,-81.5,415.0356
-89.5,-80.5,415.03564
-89.5,-79.5,415.0357
-89.5,-78.5,415.0357
-89.5,-77.5,415.0358
-89.5,-76.5,415.03583
-89.5,-75.5,415.03586
-89.5,-74.5,415.03592
-89.5,-73.5,415.03595
-89.5,-72.5,415.03595
-89.5,-71.5,415.05457
-89.5,-70.5,415.05457
-89.5,-69.5,415.05466
-89.5,-68.5,415.05466
-89.5,-67.5,415.05472
-89.5,-66.5,415.0548
-89.5,-65.5,415.0548
-89.5,-64.5,415.05487
-89.5,-63.5,415.05493
-89.5,-62.5,415.05493
-89.5,-61.5,415.05502
-89.5,-60.5,415.05505
-89.5,-59.5,415.05502
-89.5,-58.5,415.05508
-89.5,-57.5,415.05515
-89.5,-56.5,415.05518
-89.5,-55.5,415.05527
-89.5,-54.5,415.05527
-89.5,-53.5,415.0553
-89.5,-52.5,415.05536
-89.5,-51.5,415.05536
-89.5,-50.5,415.05545
-89.5,-49.5,415.05545
-89.5,-48.5,415.05548
-89.5,-47.5,415.05557
-89.5,-46.5,415.0556
-89.5,-45.5,415.05566
-89.5,-44.5,415.0556
-89.5,-43.5,415.05573
-89.5,-42.5,415.05573
-89.5,-41.5,415.05573
-89.5,-40.5,415.05582
-89.5,-39.5,415.05582
-89.5,-38.5,415.0559
-89.5,-37.5,415.0559
-89.5,-36.5,415.0559
-89.5,-35.5,415.05594
-89.5,-34.5,415.056
-89.5,-33.5,415.05603
-89.5,-32.5,415.05603
-89.5,-31.5,415.0561
-89.5,-30.5,415.0561
-89.5,-29.5,415.05612
-89.5,-28.5,415.05612
-89.5,-27.5,415.0562
-89.5,-26.5,415.0562
-89.5,-25.5,415.05624
-89.5,-24.5,415.0563
-89.5,-23.5,415.0563
-89.5,-22.5,415.0563
-89.5,-21.5,415.05634
-89.5,-20.5,415.05634
-89.5,-19.5,415.05637
-89.5,-18.5,415.05643
-89.5,-17.5,415.05643
-89.5,-16.5,415.05643
-89.5,-15.5,415.05646
-89.5,-14.5,415.05646
-89.5,-13.5,415.05646
-89.5,-12.5,415.05652
-89.5,-11.5,415.05655
-89.5,-10.5,415.05655
-89.5,-9.5,415.05655
-89.5,-8.5,415.05655
-89.5,-7.5,415.05664
-89.5,-6.5,415.05664
-89.5,-5.5,415.05664
-89.5,-4.5,415.05664
-89.5,-3.5,415.05664
