lat,lon,mean_co2
-89.5,-179.5,403.5359085852827
-89.5,-178.5,403.5399464708776
-89.5,-177.5,403.5359224408051
-89.5,-176.5,403.53591539809065
-89.5,-175.5,403.5359173036635
-89.5,-174.5,403.5359269789293
-89.5,-173.5,403.5359369236761
-89.5,-172.5,403.5399501248373
-89.5,-171.5,403.53994714443655
-89.5,-170.5,403.5359367596681
-89.5,-169.5,403.5399473588451
-89.5,-168.5,403.53594406196765
-89.5,-167.5,403.5399427807428
-89.5,-166.5,403.5399476045392
-89.5,-165.5,403.5359586517337
-89.5,-164.5,403.53597207186914
-89.5,-163.5,403.5399479476407
-89.5,-162.5,403.5399472800375
-89.5,-161.5,403.5359820371567
-89.5,-160.5,403.5399444637065
-89.5,-159.5,403.5399477683373
-89.5,-158.5,403.5399456808925
-89.5,-157.5,403.5360042933016
-89.5,-156.5,403.536002030536
-89.5,-155.5,403.5360034896296
-89.5,-154.5,403.5399512534559
-89.5,-153.5,403.5360210029449
-89.5,-152.5,403.53602906647006
-89.5,-151.5,403.5360354381927
-89.5,-150.5,403.53603895346646
-89.5,-149.5,403.5360441097837
-89.5,-148.5,403.5360476880011
-89.5,-147.5,403.5399574706375
-89.5,-146.5,403.5360526014859
-89.5,-145.5,403.5360665763286
-89.5,-144.5,403.5360730764056
-89.5,-143.5,403.56841141797446
-89.5,-142.5,403.5722687021547
-89.5,-141.5,403.5683899661707
-89.5,-140.5,403.5722519187219
-89.5,-139.5,403.568390644716
-89.5,-138.5,403.5683744362074
-89.5,-137.5,403.56837972451217
-89.5,-136.5,403.5722233160433
-89.5,-135.5,403.57221692094686
-89.5,-134.5,403.568358999485
-89.5,-133.5,403.57220289748
-89.5,-132.5,403.5683434033117
-89.5,-131.5,403.5683371499339
-89.5,-130.5,403.5683236202185
-89.5,-129.5,403.5683300316383
-89.5,-128.5,403.5683125917013
-89.5,-127.5,403.5683088398064
-89.5,-126.5,403.5683067656561
-89.5,-125.5,403.5721446456776
-89.5,-124.5,403.5721359227929
-89.5,-123.5,403.5721291310579
-89.5,-122.5,403.5682702712795
-89.5,-121.5,403.5682725856171
-89.5,-120.5,403.5721055324711
-89.5,-119.5,403.5682569682946
-89.5,-118.5,403.5720839538204
-89.5,-117.5,403.5682384102408
-89.5,-116.5,403.5720717412451
-89.5,-115.5,403.5682187072375
-89.5,-114.5,403.5682032108407
-89.5,-113.5,403.5682066700593
-89.5,-112.5,403.5681964161365
-89.5,-111.5,403.5681773800157
-89.5,-110.5,403.56817056036505
-89.5,-109.5,403.5032240550937
-89.5,-108.5,403.5720042462671
-89.5,-107.5,403.57199430852927
-89.5,-106.5,403.5719882347427
-89.5,-105.5,403.5681293797789
-89.5,-104.5,403.57197271093617
-89.5,-103.5,403.5681154105469
-89.5,-102.5,403.57195803567936
-89.5,-101.5,403.5680959354344
-89.5,-100.5,403.5719459053376
-89.5,-99.5,403.5680736510268
-89.5,-98.5,403.5680634251111
-89.5,-97.5,403.56806322477263
-89.5,-96.5,403.5719060328816
-89.5,-95.5,403.568034056328
-89.5,-94.5,403.5718913311526
-89.5,-93.5,403.5680164150448
-89.5,-92.5,403.57187844819566
-89.5,-91.5,403.5680119905161
-89.5,-90.5,403.5718641727569
-89.5,-89.5,403.5679846107211
-89.5,-88.5,403.5679688393311
-89.5,-87.5,403.5718396832869
-89.5,-86.5,403.5679624550481
-89.5,-85.5,403.56796043013526
-89.5,-84.5,403.5679432013836
-89.5,-83.5,403.5718070547065
-89.5,-82.5,403.5679299656215
-89.5,-81.5,403.56791166823575
-89.5,-80.5,403.5679098356059
-89.5,-79.5,403.5717760398754
-89.5,-78.5,403.56788680206654
-89.5,-77.5,403.5678674192546
-89.5,-76.5,403.56786088918864
-89.5,-75.5,403.567853235277
-89.5,-74.5,403.5717414127678
-89.5,-73.5,403.5678460457935
-89.5,-72.5,403.5678375814501
-89.5,-71.5,403.58497893381343
-89.5,-70.5,403.5889723968445
-89.5,-69.5,403.5849605184748
-89.5,-68.5,403.58897291394624
-89.5,-67.5,403.58495618252095
-89.5,-66.5,403.588977232914
-89.5,-65.5,403.5849443998007
-89.5,-64.5,403.5849408236165
-89.5,-63.5,403.58493751337033
